num_articulo;descripcion1;descripcion2;id_un_med_1;id_un_med_2;status;
10154603;MANGA FILTRANTE 124X2510MM EN;NOMEX TEFLONADO BOCA SUPERIOR;PRPPR;UN;1;
10300073;RASCADOR APARATO PARA TRIADO;UTILIZADO EN INDUSTRIA CERAMIC;UN;PAPAP;1;
10400030;POLEA PD 15H100-DI COD.0103008;PLANO.040010089;UN;UN;1;
10500255;SALVADITA PPOLEA 250 CODIGO;060011001CO PLANO060003002;UN;UN;1;
10500395;BLOCCHETTO FERMA DADO 20X25 CO;D.020001047 FM PLANO.050110135;UN;UN;1;
10500819;PUNTERA PROTECTORA DE CORREA E;N POMCOPOLIMERO;UN;UN;1;
10500857;CEPILLO CIRCULAR CON BASE DENT;ADA ESPESOR DEL NYLON 0.2 DIAM;UN;UN;1;
10500913;MANGUERA IMPRESORA DIGITAL;38 500 PSI 050240003 KRETA;UN;UN;1;
10700043;CUSCINETO PARTE HORNO INDUSTRI;AL 10X45MM COD.RK.165130099;UN;UN;1;
10700312;POLEA SPA 150MM EXT TRES CANA-;LES CON CASQUILLO CONICO 42MM;UN;UN;1;
10800195;PERNO HEXAGONAL PARA POLEA PLA;NO 050110118;UN;UN;1;
10800348;PULEGGIA COD420880152 B&T 926;MESA DE RODILLO  MESA DE ROD;UN;UN;1;
10800350;GUIDA COD420520386 B&T 926;PLANO050110091 MEZA DE RODILL;UN;UN;1;
10800392;ROTELLA 50MM COD OPBRROT001 BY;T 907 CURVA A CORREA PLANO080;UN;UN;1;
10900025;RUOTA TAV.5.0 22 POS.19 COD.;132700462 COD.06.2960;UN;UN;1;
10900035;SEPARADOR COD131500033 POS17;TAV5 PLANO090080012 CHECK P;UN;UN;1;
10900043;RUEDA ENTRADA PLANAR CODIGO15;1100009 PLANO090080006 CHECK;UN;UN;1;
10900044;ANILLO GOMA EXPULSOR COD08020;0067 POS21 TAV7 PLANO090020;UN;UN;1;
10900155;GUIA DE CADENA 58 GRILON RODI;LLERA HORNO MARFIN 090060022;UN;UN;1;
10900439;LAMA SALDANTE PPOLIESTER COD;Q0001072 FLEJADORA MARFIN TAV.;UN;UN;1;
10900867;ELECTROVALVULA SMC SY5220-5Y0-;01F COD20110108 POS1 TAV15;UN;UN;1;
10901021;TUERCA CASTILLO AUTO COD.V0401;52 TAV.422 FIG.4 POS.1 MARFIN;UN;UN;1;
10901201;CADENA TAV.11.1 POS.7 20040021;MAXI PACK MURRPLASTIK MP35;UN;UN;1;
10901374;CORREA CODC.00907.0009 NUOVA-;FIMA 2685H100;UN;UN;1;
10901389;SOPORTO COD.133227801 POS.14;MAT.120192.07009.00 COMM.12001;UN;UN;1;
11100426;CINTA TRANSPORTADORA Nõ10 3302;MM 2 TELAS BALANZA TECNICO;UN;UN;1;
11600175;RODILLO EN V 220x60 PLANO1600;10051;UN;UN;1;
11600276;SOPORTE RODILLO 60X655;PLANO.160010045;UN;UN;1;
11600277;RODILLO RECTO DIAM. 50X555MM;PLANO.160010008;UN;UN;1;
11701535;MANGUERA HIDRAULICA SAE 100 RZ;DE 12 LARGO 3000MM SITI;UN;UN;1;
11701552;RONDELLA BONDED;D.I. 60 D.E. 71 ESP. 2.7 MM;UN;UN;1;
11800096;TABLA 03-12 POSICION 15 CODIG;OR.132.97.12.M1 (TR2000) MAT;UN;UN;1;
11800106;TABLA 04-23 POSICION 24 CODIG;OR.132.97.12.M1 (TR2000) MAT;UN;UN;1;
11800124;TABLA 17 (TAVG1) POSICION 01 C;ODIGOR.132.97.12.M1 (TR2000);UN;UN;1;
11800125;TABLA 17 (TAVG1) POSICION 06 C;ODIGOR.132.97.12.M1 (TR2000);UN;UN;1;
11800151;TABLA 15-12 POSICION 42 CODIG;OR.132.97.12.M1 (TR2000) GUID;UN;UN;1;
11800230;TABLA08-22(TAV.N8) POS03 R.;132.01.01.M1(TR2001) RESORTE;UN;UN;1;
11800248;TABLA.15 POS.28 TUBOLARE;TR.2001 R.132.01.01.M1;UN;UN;1;
11800318;TABLA15-12 POS25 R.132.01.0;1.M1 TR2000 D50523870;UN;UN;1;
11800387;PIæON COD Z=12 BS.16 TEMPLADO;PLANO.180010179;UN;UN;1;
11800398;BUJE DE ARRASTRE DIAM. 40MM;PLANO 018001043-01;UN;UN;1;
11800477;TABLA.3 POS.2 TGVB R5500104M1;RUEDA DENTADA 6636PO6500;UN;UN;1;
11800491;TABLA.1512 POS.41 TR.2001 CO;D.R.132.01.01.141 TAVG1 PIASTR;UN;UN;1;
11800510;TAB.03 POS.3 TGVB 7203ST0230;SERVOMOTOR CON REDUCTOR;UN;UN;1;
11800538;BLOCCHETTO COD.D505261322;TECNO FERRARI;UN;UN;1;
11800539;REVESTIMIENTO RODILLO LISO;38X43MM TECNO FERRARI;MT;MT;1;
11800584;PATTINO TAV.4 23 POS.27;GUIA DE COR H100 TR2000;UN;UN;1;
11800585;PATTINO TAV.3 12 POS.21;GUIA DOBLE DE COR H100 TR2000;UN;UN;1;
11900115;BUSSOLA  I-142207 ù50 Z1949;CON DOBLE UæAS SITI;UN;UN;1;
11900127;ROTELLA COD106675D SITI;ROTELLA COD106675D SITI;UN;UN;1;
12000002;RIPORTO LAMA 30000119.67;TAV.550 POS.26 BMR;UN;UN;1;
12000003;FORCELLA 240600.320.401;TAV.550 POS.13;UN;UN;1;
12000004;PROLUNGA  30000119107;TAV.550 POS.29 BMR;UN;UN;1;
12000009;PERNO 3000011938;TAV.552 POS.8 BMR;UN;UN;1;
12000014;RUOTA 3000011942;TAV.586 POS.36;UN;UN;1;
12000016;TRAVERSA 30000019113;TAV.581 POS.31 BMR;UN;UN;1;
12000017;PIATTO 30000019170;TAV.581 POS.26 BMR;UN;UN;1;
12000018;PROFILO 3000001940;TAV.582 POS.30 BMR;UN;UN;1;
12000038;GUIA DE NYLON VERDE 52x12x16MM;PLANO200060010;UN;UN;1;
12000087;PULEGGIA POS13 CODFK017003005;ANCORA;UN;UN;1;
12000159;GUIA NYLON VERDE 745x16x18MM;PLANO200060008;UN;UN;1;
12000176;GUIA NYLON VERDE 620x16x12MM;PLANO200060011;UN;UN;1;
12000191;ANILLO FISSO POS.15 POMPA PEMO;603 AOAB;UN;UN;1;
12000192;ANILLO MOBILE POS13 POMPA PEMO;603 AOAB;UN;UN;1;
12000373;CILINDRO A CORSA BREVE COD30.;422.32 POS.32 BMR;UN;UN;1;
12000669;GUIDA 1200 POS.19 COD.30000119;.92 BMR;UN;UN;1;
12000723;OLIATORE 30000120157;TAV.552 POS.46 BMR;UN;UN;1;
12000818;GRUPPO RUOTINA  3000040731;TAV.632A POS.33 BMR;UN;UN;1;
12001087;COPERCHIO PER SUPPORTO COD.300;00422.31 POS.31 TAV.352;UN;UN;1;
12001088;VOLANTINO POS.4;TAV.587 COD.3000042235;UN;UN;1;
12001089;COPERCHIO SUPPORTO COD.3000042;2.37 POS.37 TAV.352;UN;UN;1;
12001114;CINTA TRANSP.100MM 3.TELAS GOM;A ANTIABRASIVAS 4800MM ENTRE C;UN;UN;1;
12001115;CINTA TRANSP.100MM 3.TELAS GOM;A ANTIABRASIVAS 2800MM ENTRE C;UN;UN;1;
12001270;RUEDA GUIA ENTRADA DESGROSADOR;KEDA PL 200070038;UN;UN;1;
12001294;DRY ROLLER L1100 200070040;RODILLO SECADOR PL 200070040;UN;UN;1;
12001368;TUERCA SCREW ROD BASE POS35;KD356D-05 COD 200214061 KEDA;UN;UN;1;
12001967;ALBERO MANDRINO 3000042216;POS 16 TAV 352A;UN;UN;1;
12001968;VENTOLA  3000042226;POS 26 TAV 352A;UN;UN;1;
12001969;LABIRINTO VENTOLA  3000042227;POS 27 TAV 352A;UN;UN;1;
12200074;MOTOR TIPO 132 1400 RPM 7.5 KW;BRIDA B3 380660V;UN;UN;1;
12200284;BOMBA CENTRIFUGA HORIZONTAL;DAB K55200T 5.5HP 2880 LT-MIN;UN;UN;1;
12200438;MOTOR TIPO 90 1400 RPM 1.5 KW;BRIDA B5 220380V;UN;UN;1;
12300336;ADJUSTABLE ANNULUS RACE POS.29;PVARIADOR MOD.NK010 CAT.138;UN;UN;1;
12300836;REDUCTOR BYT RSF000 POS.20;BT 853 COMPLETO;UN;UN;1;
12400039;CORREA B39 MARCAOPTIBELT;;UN;UN;1;
12400040;CORREA B40;;UN;UN;1;
12400044;CORREA B46;;UN;UN;1;
12400045;CORREA B48;;UN;UN;1;
12400046;CORREA B50 MARCAOPTIBELT;CORREA B50 MARCAOPTIBELT;UN;UN;1;
12400048;CORREA B55;;UN;UN;1;
12400053;CORREA B65;;UN;UN;1;
12400054;CORREA B66;;UN;UN;1;
12400057;CORREA B69 MARCAOPTIBELT;CORREA B69 MARCAOPTIBELT;UN;UN;1;
12400067;CORREA B92;;UN;UN;1;
12400069;CORREA B94;;UN;UN;1;
12400070;CORREA B95;;UN;UN;1;
12400071;CORREA B96;;UN;UN;1;
12400081;CORREA B114;;UN;UN;1;
12400086;CORREA B130;;UN;UN;1;
12400087;CORREA B133;;UN;UN;1;
12400090;CORREA B140;;UN;UN;1;
12400093;CORREA B148;;UN;UN;1;
12400102;CORREA B210;;UN;UN;1;
12400122;CORREA B512;;UN;UN;1;
12400148;CORREA SPB43105V1700;;UN;UN;1;
12400149;CORREA 8V1800 CODIFICADAS;(MISMO LOTE);UN;UN;1;
12400151;CORREA SPB53005V2120;OPTIBELT;UN;UN;1;
12400212;CORREA DENTADA 1250H100 OPTIBE;LT;UN;UN;1;
12400213;CORREA DENTADA 1400H100 OPTIBE;LT;UN;UN;1;
12400229;CORREA DENTADA 1150H100 OPTIBE;LT GOMATELA;UN;UN;1;
12400231;CORREA B156;;UN;UN;1;
12400252;CORREA DENTADA OPTIBELT MOD;RPP1400-OMEGA HL-14 55 MM;UN;UN;1;
12400288;CORREA DENTADA 900H100 OPTIBEL;T;UN;UN;1;
12400343;CORREA XPA 2360;;UN;UN;1;
12400347;CORREA XPB2680=5VX1060 CODIFI-;CADAS.;UN;UN;1;
12400350;CORREA B103;;UN;UN;1;
12400365;CORREA POLICORD CANAL B PLANA;PW 171;MT;MT;1;
12400383;CORREA SPC4750 CODIFICADAS;(MISMO LOTE);UN;UN;1;
12400483;CORREA B142;;UN;UN;1;
12400484;CORREA B143;;UN;UN;1;
12400486;CORREA B157;;UN;UN;1;
12400489;CORREA B79;;UN;UN;1;
12400513;CORREA B150;CORREA B150;UN;UN;1;
12400550;CORREA B49;;UN;UN;1;
13001154;MALLA ACERO INOXIDABLE 10 MM L;UZ NETA 1.5MM ESPESOR ALAMBRE;M2;M2;1;
16500001;CADENA SIMPLE BS-06-B1 38;;MT;MT;1;
16500012;CADENA SIMPLE BS-12-B1 34;;MT;MT;1;
16500040;UNION DOBLE BS-08-B2 12;;UN;UN;1;
22500002;RODAMIENTO 6202 2RS1C3LHT23;;UN;UN;1;
22500012;RODAMIENTO SKF608 2RS1;;UN;UN;1;
22500019;RODAMIENTO 6301 2RS1C3 SKF;;UN;UN;1;
22500020;RODAMIENTO 6204 2RS1C3;;UN;UN;1;
22500023;RODAMIENTO 6008 2RS1SKF;;UN;UN;1;
22500028;RODAMIENTO 6200 2RS1C3;;UN;UN;1;
22500037;RODAMIENTO 3312A MARCASKF;;UN;UN;1;
22500045;ANILLO DE SEGURIDAD TIPO I-16;;UN;UN;1;
22500063;RODAMIENTO 6000 2RS1;;UN;UN;1;
22500067;RODAMIENTO YAR205;;UN;UN;1;
22500073;RODAMIENTO 6006 2RS1C3;;UN;UN;1;
22500079;SOPORTE FYTB-17-TF (CAJERA);;UN;UN;1;
22500088;RODAMIENTO YAR213 2F;;UN;UN;1;
22500091;RODAMIENTO 32010 X;;UN;UN;1;
22500110;EXTREMO ROSCADO CON ROTULA;SI 10 E HEMBRA ROS. DER.;UN;UN;1;
22500114;RODAMIENTO 22220 CCKC33;;UN;UN;1;
22500115;BUJE H320 (MANGUITO);;UN;UN;1;
22500139;ANILLO DE SEGURIDAD TIPO I-25;;UN;UN;1;
22500162;CARTUCHO GRASA SISTEN 24 LAGD;125WA2;UN;UN;1;
22500167;ANILLO DE SEGURIDAD TIPO I-35;;UN;UN;1;
22500178;RODAMIENTO RALE-30NPP-FA.106 M;ARCAINA;UN;UN;1;
22500204;RODAMIENTO 2309-TV;;UN;UN;1;
22500237;RODAMIENTO 22218-EK;;UN;UN;1;
22500508;SOPORTE SNL-520-617(CAJERA);;UN;UN;1;
22500560;MANGUITO H318 SKF;;UN;UN;1;
22500591;SOPORTE FY-40-TF (CAJERA);;UN;UN;1;
22500597;RODAMIENTO 61908 2RS1 6908 2R;RODAMIENTO 61908 2RS1 6908 2R;UN;UN;1;
22500627;ANILLO FIJACION FRB 12180;;UN;UN;1;
22600020;RETEN 18-30-7 SAV 7035 Lz;NITRILO;UN;UN;1;
22600032;RETEN 20-47-7 SAV 5420 Lx;NITRILO;UN;UN;1;
22600087;RETEN 40-56-8 SAV 5339 Lx;NITRILO;UN;UN;1;
22600101;RETEN 45-65-10 SAV 5223 Lz;NITRILO;UN;UN;1;
22600108;RETEN 50-65-8 SAV 5582 Mz;NITRILO;UN;UN;1;
22600111;RETEN 50-72-12 SAV 5147 Lx;NITRILO;UN;UN;1;
22600132;RETEN 70-90-10 SAV 5282 Lx;NITRILO;UN;UN;1;
22600199;RETEN 45-62-7 SAV 5214 Mz;NITRILO;UN;UN;1;
22600243;RETEN 40-62-7 SAV 10214 Lx;NITRILO;UN;UN;1;
22600254;RETEN 50-72-8 SAV 7010 Lx;NITRILO;UN;UN;1;
22600296;GUARNIZION SKF TSN-520;;UN;UN;1;
22600418;OBTURADOR TSN 518L;DOBLE LABIO;UN;UN;1;
22800003;ELECTROVALVULA MFH-5-18';CLASSIC TIGER FESTO;UN;UN;1;
22800017;RACORD TIPOQS-14-8;;UN;UN;1;
22800022;RACORD RAPIDO TIPOQS10-8;;UN;UN;1;
22800024;VALVULA REGULADORA DE CAUDAL;CON SILENCIADOR TIPO GRE-18ã;UN;UN;1;
22800027;RACORD TIPOQS14-10;;UN;UN;1;
22800033;TUBO TIPOPUN 10X1.5 BL;;MT;MT;1;
22800053;RACORD TIPOQSL18'-6;;UN;UN;1;
22800082;RACORD TIPOQST38-8;;UN;UN;1;
22800152;RACORD RAPIDO TIPOQS10-12;;UN;UN;1;
22800161;CILINDRO MODELODNGU-50-150-PP;V-A;UN;UN;1;
22800291;RACORD TIPOQSL-8;;UN;UN;1;
22800510;CILINDRO COMPACTO CQ2B16-30D S;MC;UN;UN;1;
22800624;RACORD ROSCA HEMBRAQSF-18-12;RACORD ROSCA HEMBRAQSF-18-12;UN;UN;1;
25100016;RACORD CAæO 32 X ROSCA 1 14';GW50418;UN;UN;1;
25100019;TUBO FLUORESCENTE TLRS 105110;PHILLIPS HO W54 TRS SLV20;UN;UN;1;
25100081;TIRA x 24 UNID. NUMERO 0 GRAFO;PLAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25100082;TIRA x 24 UNID. NUMERO 1 GRAFO;PLAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25100083;TIRA x 24 UNID. NUMERO 2 GRAFO;PLAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25100084;TIRA x 24 UNID. NUMERO 3 GRAFO;PLAST TRASP SYSTEM LARGE 11ã;UN;UN;1;
25100085;TIRA x 24 UNID. NUMERO 4 GRAFO;PLAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25100086;TIRA x 24 UNID. NUMERO 5 GRAFO;PLAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
25100139;TERMINAL HOJAL AMARILLO C6;COD130677 10 mm;UN;UN;1;
25100144;TERMINAL HOJAL AZUL B3;COD34160 4 mm;UN;UN;1;
25100150;TERMINAL HOJAL ROJO A3;COD 34145 4 mm;UN;UN;1;
25100217;PRECINTO ALT Nõ 2 NEGRO;;UN;UN;1;
25100218;PRECINTO ALT Nõ 3 NEGRO;;UN;UN;1;
25100220;PRECINTO ALT Nõ6 NEGRO;;UN;UN;1;
25100224;PRECINTO ALT Nõ5 NEGRO;;UN;UN;1;
25100227;FICHA DE 10 AMP. 3 PATAS CHATA;S;UN;UN;1;
25100251;INTERRUPTOR TERMOMAG. BIPOLAR;C-25 AMP.;UN;UN;1;
25100276;TERMINAL DE COBRE TUBO STANDAR;SCC - 353  HOJAL 12 LCT;UN;UN;1;
